Dates,Blocked,END where I got to
24-06-1984 to 28-06-1984,1,
25-06-1984 to 29-06-1984,0,
26-06-1984 to 30-06-1984,0,
27-06-1984 to 01-07-1984,0,
28-06-1984 to 02-07-1984,0,
29-06-1984 to 03-07-1984,0,
30-06-1984 to 04-07-1984,0,
01-07-1984 to 05-07-1984,0,
02-07-1984 to 06-07-1984,0,
03-07-1984 to 07-07-1984,0,
04-07-1984 to 08-07-1984,0,
05-07-1984 to 09-07-1984,0,
06-07-1984 to 10-07-1984,0,
07-07-1984 to 11-07-1984,0,
08-07-1984 to 12-07-1984,0,
09-07-1984 to 13-07-1984,0,
10-07-1984 to 14-07-1984,0,
11-07-1984 to 15-07-1984,0,
12-07-1984 to 16-07-1984,0,
13-07-1984 to 17-07-1984,0,
14-07-1984 to 18-07-1984,0,
15-07-1984 to 19-07-1984,1,
16-07-1984 to 20-07-1984,0,
17-07-1984 to 21-07-1984,0,
18-07-1984 to 22-07-1984,0,
19-07-1984 to 23-07-1984,0,
20-07-1984 to 24-07-1984,0,
21-07-1984 to 25-07-1984,0,
22-07-1984 to 26-07-1984,0,
23-07-1984 to 27-07-1984,0,
24-07-1984 to 28-07-1984,0,
25-07-1984 to 29-07-1984,0,
26-07-1984 to 30-07-1984,1,
27-07-1984 to 01-08-1984,1,
28-07-1984 to 02-08-1984,1,
29-07-1984 to 03-08-1984,1,
30-07-1984 to 04-08-1984,1,
01-08-1984 to 05-08-1984,0,
02-08-1984 to 06-08-1984,0,
03-08-1984 to 07-08-1984,0,
04-08-1984 to 08-08-1984,0,
05-08-1984 to 09-08-1984,0,
06-08-1984 to 10-08-1984,0,
07-08-1984 to 11-08-1984,0,
08-08-1984 to 12-08-1984,0,
09-08-1984 to 13-08-1984,0,
10-08-1984 to 14-08-1984,0,
11-08-1984 to 15-08-1984,0,
12-08-1984 to 16-08-1984,0,
13-08-1984 to 17-08-1984,0,
14-08-1984 to 18-08-1984,0,
15-08-1984 to 19-08-1984,0,
16-08-1984 to 20-08-1984,0,
17-08-1984 to 21-08-1984,0,
18-08-1984 to 22-08-1984,0,
19-08-1984 to 23-08-1984,0,
20-08-1984 to 24-08-1984,0,
21-08-1984 to 25-08-1984,0,
22-08-1984 to 26-08-1984,0,
23-08-1984 to 27-08-1984,0,
24-08-1984 to 28-08-1984,0,
25-08-1984 to 29-08-1984,0,
26-08-1984 to 30-08-1984,0,
27-08-1984 to 01-09-1984,0,
28-08-1984 to 02-09-1984,0,
29-08-1984 to 03-09-1984,0,
30-08-1984 to 04-09-1984,0,
27-05-1985 to 01-06-1985,0,
28-05-1985 to 02-06-1985,0,
29-05-1985 to 03-06-1985,0,
30-05-1985 to 04-06-1985,0,
01-06-1985 to 05-06-1985,0,
02-06-1985 to 06-06-1985,0,
03-06-1985 to 07-06-1985,0,
04-06-1985 to 08-06-1985,0,
05-06-1985 to 09-06-1985,0,
06-06-1985 to 10-06-1985,0,
07-06-1985 to 11-06-1985,0,
08-06-1985 to 12-06-1985,0,
09-06-1985 to 13-06-1985,0,
10-06-1985 to 14-06-1985,0,
11-06-1985 to 15-06-1985,0,
12-06-1985 to 16-06-1985,0,
13-06-1985 to 17-06-1985,0,
14-06-1985 to 18-06-1985,0,
15-06-1985 to 19-06-1985,0,
16-06-1985 to 20-06-1985,0,
17-06-1985 to 21-06-1985,0,
18-06-1985 to 22-06-1985,0,
19-06-1985 to 23-06-1985,0,
20-06-1985 to 24-06-1985,0,
21-06-1985 to 25-06-1985,0,
22-06-1985 to 26-06-1985,0,
23-06-1985 to 27-06-1985,0,
24-06-1985 to 28-06-1985,0,
25-06-1985 to 29-06-1985,0,
26-06-1985 to 30-06-1985,0,
27-06-1985 to 01-07-1985,0,
28-06-1985 to 02-07-1985,0,
29-06-1985 to 03-07-1985,0,
30-06-1985 to 04-07-1985,0,
01-07-1985 to 05-07-1985,0,
02-07-1985 to 06-07-1985,0,
03-07-1985 to 07-07-1985,0,
04-07-1985 to 08-07-1985,0,
05-07-1985 to 09-07-1985,0,
06-07-1985 to 10-07-1985,0,
07-07-1985 to 11-07-1985,0,
08-07-1985 to 12-07-1985,1,
09-07-1985 to 13-07-1985,1,
10-07-1985 to 14-07-1985,0,
11-07-1985 to 15-07-1985,0,
12-07-1985 to 16-07-1985,0,
13-07-1985 to 17-07-1985,0,
14-07-1985 to 18-07-1985,0,
15-07-1985 to 19-07-1985,0,
16-07-1985 to 20-07-1985,0,
17-07-1985 to 21-07-1985,0,
18-07-1985 to 22-07-1985,0,
19-07-1985 to 23-07-1985,0,
20-07-1985 to 24-07-1985,0,
21-07-1985 to 25-07-1985,0,
22-07-1985 to 26-07-1985,0,
23-07-1985 to 27-07-1985,0,
24-07-1985 to 28-07-1985,0,
25-07-1985 to 29-07-1985,0,
26-07-1985 to 30-07-1985,0,
27-07-1985 to 01-08-1985,1,
28-07-1985 to 02-08-1985,1,
29-07-1985 to 03-08-1985,1,
30-07-1985 to 04-08-1985,1,
01-08-1985 to 05-08-1985,1,
02-08-1985 to 06-08-1985,1,
03-08-1985 to 07-08-1985,0,
04-08-1985 to 08-08-1985,0,
05-08-1985 to 09-08-1985,0,
06-08-1985 to 10-08-1985,0,
07-08-1985 to 11-08-1985,0,
08-08-1985 to 12-08-1985,0,
09-08-1985 to 13-08-1985,0,
10-08-1985 to 14-08-1985,0,
11-08-1985 to 15-08-1985,0,
12-08-1985 to 16-08-1985,0,
13-08-1985 to 17-08-1985,0,
14-08-1985 to 18-08-1985,0,
15-08-1985 to 19-08-1985,0,
16-08-1985 to 20-08-1985,0,
17-08-1985 to 21-08-1985,0,
18-08-1985 to 22-08-1985,0,
19-08-1985 to 23-08-1985,0,
20-08-1985 to 24-08-1985,0,
21-08-1985 to 25-08-1985,1,
22-08-1985 to 26-08-1985,1,
23-08-1985 to 27-08-1985,1,
24-08-1985 to 28-08-1985,1,
25-08-1985 to 29-08-1985,1,
26-08-1985 to 30-08-1985,1,
27-08-1985 to 01-09-1985,1,
28-08-1985 to 02-09-1985,0,
29-08-1985 to 03-09-1985,0,
30-08-1985 to 04-09-1985,0,
27-05-1986 to 01-06-1986,1,
28-05-1986 to 02-06-1986,1,
29-05-1986 to 03-06-1986,1,
30-05-1986 to 04-06-1986,1,
01-06-1986 to 05-06-1986,1,
02-06-1986 to 06-06-1986,1,
03-06-1986 to 07-06-1986,1,
04-06-1986 to 08-06-1986,1,
05-06-1986 to 09-06-1986,1,
06-06-1986 to 10-06-1986,1,
07-06-1986 to 11-06-1986,1,
08-06-1986 to 12-06-1986,0,
09-06-1986 to 13-06-1986,0,
10-06-1986 to 14-06-1986,0,
11-06-1986 to 15-06-1986,0,
12-06-1986 to 16-06-1986,0,
13-06-1986 to 17-06-1986,0,
14-06-1986 to 18-06-1986,0,
15-06-1986 to 19-06-1986,0,
16-06-1986 to 20-06-1986,0,
17-06-1986 to 21-06-1986,0,
18-06-1986 to 22-06-1986,0,
19-06-1986 to 23-06-1986,0,
20-06-1986 to 24-06-1986,0,
21-06-1986 to 25-06-1986,0,
22-06-1986 to 26-06-1986,0,
23-06-1986 to 27-06-1986,0,
24-06-1986 to 28-06-1986,0,
25-06-1986 to 29-06-1986,0,
26-06-1986 to 30-06-1986,0,
27-06-1986 to 01-07-1986,1,
28-06-1986 to 02-07-1986,1,
29-06-1986 to 03-07-1986,1,
30-06-1986 to 04-07-1986,1,
01-07-1986 to 05-07-1986,1,
02-07-1986 to 06-07-1986,1,
03-07-1986 to 07-07-1986,0,
04-07-1986 to 08-07-1986,0,
05-07-1986 to 09-07-1986,0,
06-07-1986 to 10-07-1986,0,
07-07-1986 to 11-07-1986,0,
08-07-1986 to 12-07-1986,0,
09-07-1986 to 13-07-1986,0,
10-07-1986 to 14-07-1986,0,
11-07-1986 to 15-07-1986,0,
12-07-1986 to 16-07-1986,0,
13-07-1986 to 17-07-1986,0,
14-07-1986 to 18-07-1986,0,
15-07-1986 to 19-07-1986,0,
16-07-1986 to 20-07-1986,0,
17-07-1986 to 21-07-1986,0,
18-07-1986 to 22-07-1986,0,
19-07-1986 to 23-07-1986,0,
20-07-1986 to 24-07-1986,0,
21-07-1986 to 25-07-1986,0,
22-07-1986 to 26-07-1986,0,
23-07-1986 to 27-07-1986,0,
24-07-1986 to 28-07-1986,0,
25-07-1986 to 29-07-1986,0,
26-07-1986 to 30-07-1986,0,
27-07-1986 to 01-08-1986,0,
28-07-1986 to 02-08-1986,0,
29-07-1986 to 03-08-1986,0,
30-07-1986 to 04-08-1986,0,
01-08-1986 to 05-08-1986,0,
02-08-1986 to 06-08-1986,0,
03-08-1986 to 07-08-1986,0,
04-08-1986 to 08-08-1986,0,
05-08-1986 to 09-08-1986,0,
06-08-1986 to 10-08-1986,0,
07-08-1986 to 11-08-1986,0,
08-08-1986 to 12-08-1986,0,
09-08-1986 to 13-08-1986,0,
10-08-1986 to 14-08-1986,0,
11-08-1986 to 15-08-1986,0,
12-08-1986 to 16-08-1986,0,
13-08-1986 to 17-08-1986,0,
14-08-1986 to 18-08-1986,0,
15-08-1986 to 19-08-1986,0,
16-08-1986 to 20-08-1986,0,
17-08-1986 to 21-08-1986,0,
18-08-1986 to 22-08-1986,0,
19-08-1986 to 23-08-1986,0,
20-08-1986 to 24-08-1986,0,
21-08-1986 to 25-08-1986,0,
22-08-1986 to 26-08-1986,0,
23-08-1986 to 27-08-1986,0,
24-08-1986 to 28-08-1986,0,
25-08-1986 to 29-08-1986,0,
26-08-1986 to 30-08-1986,0,
27-08-1986 to 01-09-1986,0,
28-08-1986 to 02-09-1986,0,
29-08-1986 to 03-09-1986,0,
30-08-1986 to 04-09-1986,0,
27-05-1987 to 01-06-1987,0,
28-05-1987 to 02-06-1987,0,
29-05-1987 to 03-06-1987,0,
30-05-1987 to 04-06-1987,0,
01-06-1987 to 05-06-1987,0,
02-06-1987 to 06-06-1987,0,
03-06-1987 to 07-06-1987,0,
04-06-1987 to 08-06-1987,0,
05-06-1987 to 09-06-1987,0,
06-06-1987 to 10-06-1987,0,
07-06-1987 to 11-06-1987,0,
08-06-1987 to 12-06-1987,0,
09-06-1987 to 13-06-1987,0,
10-06-1987 to 14-06-1987,0,
11-06-1987 to 15-06-1987,0,
12-06-1987 to 16-06-1987,0,
13-06-1987 to 17-06-1987,0,
14-06-1987 to 18-06-1987,0,
15-06-1987 to 19-06-1987,0,
16-06-1987 to 20-06-1987,0,
17-06-1987 to 21-06-1987,0,
18-06-1987 to 22-06-1987,0,
19-06-1987 to 23-06-1987,0,
20-06-1987 to 24-06-1987,0,
21-06-1987 to 25-06-1987,0,
22-06-1987 to 26-06-1987,0,
23-06-1987 to 27-06-1987,0,
24-06-1987 to 28-06-1987,0,
25-06-1987 to 29-06-1987,0,
26-06-1987 to 30-06-1987,0,
27-06-1987 to 01-07-1987,0,
28-06-1987 to 02-07-1987,0,
29-06-1987 to 03-07-1987,0,
30-06-1987 to 04-07-1987,0,
01-07-1987 to 05-07-1987,0,
02-07-1987 to 06-07-1987,0,
03-07-1987 to 07-07-1987,0,
04-07-1987 to 08-07-1987,0,
05-07-1987 to 09-07-1987,0,
06-07-1987 to 10-07-1987,0,
07-07-1987 to 11-07-1987,0,
08-07-1987 to 12-07-1987,1,
09-07-1987 to 13-07-1987,1,
10-07-1987 to 14-07-1987,1,
11-07-1987 to 15-07-1987,1,
12-07-1987 to 16-07-1987,1,
13-07-1987 to 17-07-1987,1,
14-07-1987 to 18-07-1987,0,
15-07-1987 to 19-07-1987,0,
16-07-1987 to 20-07-1987,0,
17-07-1987 to 21-07-1987,0,
18-07-1987 to 22-07-1987,0,
19-07-1987 to 23-07-1987,0,
20-07-1987 to 24-07-1987,0,
21-07-1987 to 25-07-1987,0,
22-07-1987 to 26-07-1987,0,
23-07-1987 to 27-07-1987,0,
24-07-1987 to 28-07-1987,0,
25-07-1987 to 29-07-1987,0,
26-07-1987 to 30-07-1987,0,
27-07-1987 to 01-08-1987,0,
28-07-1987 to 02-08-1987,0,
29-07-1987 to 03-08-1987,0,
30-07-1987 to 04-08-1987,0,
01-08-1987 to 05-08-1987,0,
02-08-1987 to 06-08-1987,0,
03-08-1987 to 07-08-1987,0,
04-08-1987 to 08-08-1987,0,
05-08-1987 to 09-08-1987,0,
06-08-1987 to 10-08-1987,0,
07-08-1987 to 11-08-1987,0,
08-08-1987 to 12-08-1987,0,
09-08-1987 to 13-08-1987,0,
10-08-1987 to 14-08-1987,0,
11-08-1987 to 15-08-1987,0,
12-08-1987 to 16-08-1987,0,
13-08-1987 to 17-08-1987,0,
14-08-1987 to 18-08-1987,0,
15-08-1987 to 19-08-1987,0,
16-08-1987 to 20-08-1987,0,
17-08-1987 to 21-08-1987,0,
18-08-1987 to 22-08-1987,0,
19-08-1987 to 23-08-1987,0,
20-08-1987 to 24-08-1987,0,
21-08-1987 to 25-08-1987,0,
22-08-1987 to 26-08-1987,0,
23-08-1987 to 27-08-1987,0,
24-08-1987 to 28-08-1987,0,
25-08-1987 to 29-08-1987,0,
26-08-1987 to 30-08-1987,0,
27-08-1987 to 01-09-1987,0,
28-08-1987 to 02-09-1987,0,
29-08-1987 to 03-09-1987,0,
30-08-1987 to 04-09-1987,0,
27-05-1988 to 01-06-1988,0,
28-05-1988 to 02-06-1988,0,
29-05-1988 to 03-06-1988,1,
30-05-1988 to 04-06-1988,1,
01-06-1988 to 05-06-1988,1,
02-06-1988 to 06-06-1988,1,
03-06-1988 to 07-06-1988,1,
04-06-1988 to 08-06-1988,1,
05-06-1988 to 09-06-1988,1,
06-06-1988 to 10-06-1988,1,
07-06-1988 to 11-06-1988,1,
08-06-1988 to 12-06-1988,1,
09-06-1988 to 13-06-1988,0,
10-06-1988 to 14-06-1988,0,
11-06-1988 to 15-06-1988,0,
12-06-1988 to 16-06-1988,0,
13-06-1988 to 17-06-1988,0,
14-06-1988 to 18-06-1988,0,
15-06-1988 to 19-06-1988,0,
16-06-1988 to 20-06-1988,0,
17-06-1988 to 21-06-1988,0,
18-06-1988 to 22-06-1988,0,
19-06-1988 to 23-06-1988,0,
20-06-1988 to 24-06-1988,0,
21-06-1988 to 25-06-1988,0,
22-06-1988 to 26-06-1988,0,
23-06-1988 to 27-06-1988,0,
24-06-1988 to 28-06-1988,1,
25-06-1988 to 29-06-1988,1,
26-06-1988 to 30-06-1988,1,
27-06-1988 to 01-07-1988,1,
28-06-1988 to 02-07-1988,1,
29-06-1988 to 03-07-1988,1,
30-06-1988 to 04-07-1988,1,
01-07-1988 to 05-07-1988,1,
02-07-1988 to 06-07-1988,1,
03-07-1988 to 07-07-1988,1,
04-07-1988 to 08-07-1988,0,
05-07-1988 to 09-07-1988,0,
06-07-1988 to 10-07-1988,0,
07-07-1988 to 11-07-1988,0,
08-07-1988 to 12-07-1988,0,
09-07-1988 to 13-07-1988,0,
10-07-1988 to 14-07-1988,0,
11-07-1988 to 15-07-1988,0,
12-07-1988 to 16-07-1988,0,
13-07-1988 to 17-07-1988,0,
14-07-1988 to 18-07-1988,0,
15-07-1988 to 19-07-1988,0,
16-07-1988 to 20-07-1988,0,
17-07-1988 to 21-07-1988,0,
18-07-1988 to 22-07-1988,0,
19-07-1988 to 23-07-1988,1,?
20-07-1988 to 24-07-1988,0,END
21-07-1988 to 25-07-1988,0,
22-07-1988 to 26-07-1988,0,
23-07-1988 to 27-07-1988,0,
24-07-1988 to 28-07-1988,0,
25-07-1988 to 29-07-1988,0,
26-07-1988 to 30-07-1988,0,
27-07-1988 to 01-08-1988,0,
28-07-1988 to 02-08-1988,0,
29-07-1988 to 03-08-1988,0,
30-07-1988 to 04-08-1988,0,
01-08-1988 to 05-08-1988,0,
02-08-1988 to 06-08-1988,0,
03-08-1988 to 07-08-1988,0,
04-08-1988 to 08-08-1988,0,
05-08-1988 to 09-08-1988,0,
06-08-1988 to 10-08-1988,0,
07-08-1988 to 11-08-1988,0,
08-08-1988 to 12-08-1988,0,
09-08-1988 to 13-08-1988,0,
10-08-1988 to 14-08-1988,0,
11-08-1988 to 15-08-1988,0,
12-08-1988 to 16-08-1988,0,
13-08-1988 to 17-08-1988,0,
14-08-1988 to 18-08-1988,0,
15-08-1988 to 19-08-1988,0,
16-08-1988 to 20-08-1988,0,
17-08-1988 to 21-08-1988,0,
18-08-1988 to 22-08-1988,0,
19-08-1988 to 23-08-1988,0,
20-08-1988 to 24-08-1988,0,
21-08-1988 to 25-08-1988,0,
22-08-1988 to 26-08-1988,0,
23-08-1988 to 27-08-1988,0,
24-08-1988 to 28-08-1988,0,
25-08-1988 to 29-08-1988,0,
26-08-1988 to 30-08-1988,0,
27-08-1988 to 01-09-1988,0,
28-08-1988 to 02-09-1988,0,
29-08-1988 to 03-09-1988,0,
30-08-1988 to 04-09-1988,0,
27-05-1989 to 01-06-1989,0,
28-05-1989 to 02-06-1989,0,
29-05-1989 to 03-06-1989,0,
30-05-1989 to 04-06-1989,0,
01-06-1989 to 05-06-1989,0,
02-06-1989 to 06-06-1989,0,
03-06-1989 to 07-06-1989,0,
04-06-1989 to 08-06-1989,0,
05-06-1989 to 09-06-1989,0,
06-06-1989 to 10-06-1989,0,
07-06-1989 to 11-06-1989,0,
08-06-1989 to 12-06-1989,0,
09-06-1989 to 13-06-1989,0,
10-06-1989 to 14-06-1989,0,
11-06-1989 to 15-06-1989,0,
12-06-1989 to 16-06-1989,0,
13-06-1989 to 17-06-1989,0,
14-06-1989 to 18-06-1989,0,
15-06-1989 to 19-06-1989,0,
16-06-1989 to 20-06-1989,0,
17-06-1989 to 21-06-1989,0,
18-06-1989 to 22-06-1989,0,
19-06-1989 to 23-06-1989,0,
20-06-1989 to 24-06-1989,0,
21-06-1989 to 25-06-1989,0,
22-06-1989 to 26-06-1989,0,
23-06-1989 to 27-06-1989,0,
24-06-1989 to 28-06-1989,0,
25-06-1989 to 29-06-1989,0,
26-06-1989 to 30-06-1989,0,
27-06-1989 to 01-07-1989,0,
28-06-1989 to 02-07-1989,0,
29-06-1989 to 03-07-1989,0,
30-06-1989 to 04-07-1989,0,
01-07-1989 to 05-07-1989,0,
02-07-1989 to 06-07-1989,0,
03-07-1989 to 07-07-1989,0,
04-07-1989 to 08-07-1989,0,
05-07-1989 to 09-07-1989,0,
06-07-1989 to 10-07-1989,0,
07-07-1989 to 11-07-1989,0,
08-07-1989 to 12-07-1989,0,
09-07-1989 to 13-07-1989,0,
10-07-1989 to 14-07-1989,0,
11-07-1989 to 15-07-1989,0,
12-07-1989 to 16-07-1989,0,
13-07-1989 to 17-07-1989,0,
14-07-1989 to 18-07-1989,0,
15-07-1989 to 19-07-1989,0,
16-07-1989 to 20-07-1989,0,
17-07-1989 to 21-07-1989,0,
18-07-1989 to 22-07-1989,0,
19-07-1989 to 23-07-1989,0,
20-07-1989 to 24-07-1989,0,
21-07-1989 to 25-07-1989,0,
22-07-1989 to 26-07-1989,0,
23-07-1989 to 27-07-1989,0,
24-07-1989 to 28-07-1989,0,
25-07-1989 to 29-07-1989,0,
26-07-1989 to 30-07-1989,0,
27-07-1989 to 01-08-1989,0,
28-07-1989 to 02-08-1989,0,
29-07-1989 to 03-08-1989,0,
30-07-1989 to 04-08-1989,0,
01-08-1989 to 05-08-1989,0,
02-08-1989 to 06-08-1989,0,
03-08-1989 to 07-08-1989,0,
04-08-1989 to 08-08-1989,0,
05-08-1989 to 09-08-1989,0,
06-08-1989 to 10-08-1989,0,
07-08-1989 to 11-08-1989,0,
08-08-1989 to 12-08-1989,0,
09-08-1989 to 13-08-1989,0,
10-08-1989 to 14-08-1989,0,
11-08-1989 to 15-08-1989,0,
12-08-1989 to 16-08-1989,0,
13-08-1989 to 17-08-1989,0,
14-08-1989 to 18-08-1989,0,
15-08-1989 to 19-08-1989,0,
16-08-1989 to 20-08-1989,0,
17-08-1989 to 21-08-1989,0,
18-08-1989 to 22-08-1989,0,
19-08-1989 to 23-08-1989,0,
20-08-1989 to 24-08-1989,0,
21-08-1989 to 25-08-1989,0,
22-08-1989 to 26-08-1989,0,
23-08-1989 to 27-08-1989,0,
24-08-1989 to 28-08-1989,0,
25-08-1989 to 29-08-1989,0,
26-08-1989 to 30-08-1989,0,
27-08-1989 to 01-09-1989,0,
28-08-1989 to 02-09-1989,0,
29-08-1989 to 03-09-1989,0,
30-08-1989 to 04-09-1989,0,
27-05-1990 to 01-06-1990,0,
28-05-1990 to 02-06-1990,0,
29-05-1990 to 03-06-1990,0,
30-05-1990 to 04-06-1990,0,
01-06-1990 to 05-06-1990,0,
02-06-1990 to 06-06-1990,0,
03-06-1990 to 07-06-1990,0,
04-06-1990 to 08-06-1990,0,
05-06-1990 to 09-06-1990,0,
06-06-1990 to 10-06-1990,0,
07-06-1990 to 11-06-1990,0,
08-06-1990 to 12-06-1990,0,
09-06-1990 to 13-06-1990,0,
10-06-1990 to 14-06-1990,0,
11-06-1990 to 15-06-1990,0,
12-06-1990 to 16-06-1990,0,
13-06-1990 to 17-06-1990,0,
14-06-1990 to 18-06-1990,0,
15-06-1990 to 19-06-1990,0,
16-06-1990 to 20-06-1990,0,
17-06-1990 to 21-06-1990,0,
18-06-1990 to 22-06-1990,0,
19-06-1990 to 23-06-1990,0,
20-06-1990 to 24-06-1990,0,
21-06-1990 to 25-06-1990,0,
22-06-1990 to 26-06-1990,0,
23-06-1990 to 27-06-1990,0,
24-06-1990 to 28-06-1990,0,
25-06-1990 to 29-06-1990,0,
26-06-1990 to 30-06-1990,0,
27-06-1990 to 01-07-1990,0,
28-06-1990 to 02-07-1990,0,
29-06-1990 to 03-07-1990,0,
30-06-1990 to 04-07-1990,0,
01-07-1990 to 05-07-1990,0,
02-07-1990 to 06-07-1990,0,
03-07-1990 to 07-07-1990,0,
04-07-1990 to 08-07-1990,0,
05-07-1990 to 09-07-1990,0,
06-07-1990 to 10-07-1990,0,
07-07-1990 to 11-07-1990,0,
08-07-1990 to 12-07-1990,0,
09-07-1990 to 13-07-1990,0,
10-07-1990 to 14-07-1990,0,
11-07-1990 to 15-07-1990,0,
12-07-1990 to 16-07-1990,0,
13-07-1990 to 17-07-1990,0,
14-07-1990 to 18-07-1990,0,
15-07-1990 to 19-07-1990,0,
16-07-1990 to 20-07-1990,0,
17-07-1990 to 21-07-1990,0,
18-07-1990 to 22-07-1990,0,
19-07-1990 to 23-07-1990,0,
20-07-1990 to 24-07-1990,0,
21-07-1990 to 25-07-1990,0,
22-07-1990 to 26-07-1990,0,
23-07-1990 to 27-07-1990,0,
24-07-1990 to 28-07-1990,0,
25-07-1990 to 29-07-1990,0,
26-07-1990 to 30-07-1990,0,
27-07-1990 to 01-08-1990,0,
28-07-1990 to 02-08-1990,0,
29-07-1990 to 03-08-1990,0,
30-07-1990 to 04-08-1990,0,
01-08-1990 to 05-08-1990,0,
02-08-1990 to 06-08-1990,0,
03-08-1990 to 07-08-1990,0,
04-08-1990 to 08-08-1990,0,
05-08-1990 to 09-08-1990,0,
06-08-1990 to 10-08-1990,0,
07-08-1990 to 11-08-1990,0,
08-08-1990 to 12-08-1990,0,
09-08-1990 to 13-08-1990,0,
10-08-1990 to 14-08-1990,0,
11-08-1990 to 15-08-1990,0,
12-08-1990 to 16-08-1990,0,
13-08-1990 to 17-08-1990,0,
14-08-1990 to 18-08-1990,0,
15-08-1990 to 19-08-1990,0,
16-08-1990 to 20-08-1990,0,
17-08-1990 to 21-08-1990,0,
18-08-1990 to 22-08-1990,0,
19-08-1990 to 23-08-1990,0,
20-08-1990 to 24-08-1990,0,
21-08-1990 to 25-08-1990,0,
22-08-1990 to 26-08-1990,0,
23-08-1990 to 27-08-1990,0,
24-08-1990 to 28-08-1990,0,
25-08-1990 to 29-08-1990,0,
26-08-1990 to 30-08-1990,0,
27-08-1990 to 01-09-1990,0,
28-08-1990 to 02-09-1990,0,
29-08-1990 to 03-09-1990,0,
30-08-1990 to 04-09-1990,0,
27-05-1991 to 01-06-1991,0,
28-05-1991 to 02-06-1991,0,
29-05-1991 to 03-06-1991,0,
30-05-1991 to 04-06-1991,0,
01-06-1991 to 05-06-1991,0,
02-06-1991 to 06-06-1991,0,
03-06-1991 to 07-06-1991,0,
04-06-1991 to 08-06-1991,0,
05-06-1991 to 09-06-1991,0,
06-06-1991 to 10-06-1991,0,
07-06-1991 to 11-06-1991,0,
08-06-1991 to 12-06-1991,0,
09-06-1991 to 13-06-1991,0,
10-06-1991 to 14-06-1991,0,
11-06-1991 to 15-06-1991,0,
12-06-1991 to 16-06-1991,0,
13-06-1991 to 17-06-1991,0,
14-06-1991 to 18-06-1991,0,
15-06-1991 to 19-06-1991,0,
16-06-1991 to 20-06-1991,0,
17-06-1991 to 21-06-1991,0,
18-06-1991 to 22-06-1991,0,
19-06-1991 to 23-06-1991,0,
20-06-1991 to 24-06-1991,0,
21-06-1991 to 25-06-1991,0,
22-06-1991 to 26-06-1991,0,
23-06-1991 to 27-06-1991,0,
24-06-1991 to 28-06-1991,0,
25-06-1991 to 29-06-1991,0,
26-06-1991 to 30-06-1991,0,
27-06-1991 to 01-07-1991,0,
28-06-1991 to 02-07-1991,0,
29-06-1991 to 03-07-1991,0,
30-06-1991 to 04-07-1991,0,
01-07-1991 to 05-07-1991,0,
02-07-1991 to 06-07-1991,0,
03-07-1991 to 07-07-1991,0,
04-07-1991 to 08-07-1991,0,
05-07-1991 to 09-07-1991,0,
06-07-1991 to 10-07-1991,0,
07-07-1991 to 11-07-1991,0,
08-07-1991 to 12-07-1991,0,
09-07-1991 to 13-07-1991,0,
10-07-1991 to 14-07-1991,0,
11-07-1991 to 15-07-1991,0,
12-07-1991 to 16-07-1991,0,
13-07-1991 to 17-07-1991,0,
14-07-1991 to 18-07-1991,0,
15-07-1991 to 19-07-1991,0,
16-07-1991 to 20-07-1991,0,
17-07-1991 to 21-07-1991,0,
18-07-1991 to 22-07-1991,0,
19-07-1991 to 23-07-1991,0,
20-07-1991 to 24-07-1991,0,
21-07-1991 to 25-07-1991,0,
22-07-1991 to 26-07-1991,0,
23-07-1991 to 27-07-1991,0,
24-07-1991 to 28-07-1991,0,
25-07-1991 to 29-07-1991,0,
26-07-1991 to 30-07-1991,0,
27-07-1991 to 01-08-1991,0,
28-07-1991 to 02-08-1991,0,
29-07-1991 to 03-08-1991,0,
30-07-1991 to 04-08-1991,0,
01-08-1991 to 05-08-1991,0,
02-08-1991 to 06-08-1991,0,
03-08-1991 to 07-08-1991,0,
04-08-1991 to 08-08-1991,0,
05-08-1991 to 09-08-1991,0,
06-08-1991 to 10-08-1991,0,
07-08-1991 to 11-08-1991,0,
08-08-1991 to 12-08-1991,0,
09-08-1991 to 13-08-1991,0,
10-08-1991 to 14-08-1991,0,
11-08-1991 to 15-08-1991,0,
12-08-1991 to 16-08-1991,0,
13-08-1991 to 17-08-1991,0,
14-08-1991 to 18-08-1991,0,
15-08-1991 to 19-08-1991,0,
16-08-1991 to 20-08-1991,0,
17-08-1991 to 21-08-1991,0,
18-08-1991 to 22-08-1991,0,
19-08-1991 to 23-08-1991,0,
20-08-1991 to 24-08-1991,0,
21-08-1991 to 25-08-1991,0,
22-08-1991 to 26-08-1991,0,
23-08-1991 to 27-08-1991,0,
24-08-1991 to 28-08-1991,0,
25-08-1991 to 29-08-1991,0,
26-08-1991 to 30-08-1991,0,
27-08-1991 to 01-09-1991,0,
28-08-1991 to 02-09-1991,0,
29-08-1991 to 03-09-1991,0,
30-08-1991 to 04-09-1991,0,
27-05-1992 to 01-06-1992,0,
28-05-1992 to 02-06-1992,0,
29-05-1992 to 03-06-1992,0,
30-05-1992 to 04-06-1992,0,
01-06-1992 to 05-06-1992,0,
02-06-1992 to 06-06-1992,0,
03-06-1992 to 07-06-1992,0,
04-06-1992 to 08-06-1992,0,
05-06-1992 to 09-06-1992,0,
06-06-1992 to 10-06-1992,0,
